x: 191.21, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 190.21, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 189.21, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 188.21, y: 176.23, r: 0.45, g: 0.62, b: 0.81
x: 188.21, y: 177.24, r: 0.45, g: 0.62, b: 0.81
x: 187.23, y: 178.23, r: 0.45, g: 0.62, b: 0.81
x: 187.23, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 180.23, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 182.24, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 184.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 186.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 187.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 188.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 189.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 190.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 191.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 192.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 193.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 194.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 195.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 196.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 197.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 198.23, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 199.24, r: 0.45, g: 0.62, b: 0.81
x: 185.23, y: 200.23, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 200.23, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 201.23, r: 0.45, g: 0.62, b: 0.81
x: 186.23, y: 202.24, r: 0.45, g: 0.62, b: 0.81
x: 187.23, y: 202.24, r: 0.45, g: 0.62, b: 0.81
x: 188.21, y: 202.24, r: 0.45, g: 0.62, b: 0.81
x: 189.21, y: 203.23, r: 0.45, g: 0.62, b: 0.81
x: 190.21, y: 203.23, r: 0.45, g: 0.62, b: 0.81
x: 191.21, y: 204.24, r: 0.45, g: 0.62, b: 0.81
x: 192.21, y: 205.23, r: 0.45, g: 0.62, b: 0.81
x: 194.21, y: 207.23, r: 0.45, g: 0.62, b: 0.81
x: 196.21, y: 207.23, r: 0.45, g: 0.62, b: 0.81
x: 196.21, y: 208.24, r: 0.45, g: 0.62, b: 0.81
x: 199.22, y: 210.23, r: 0.45, g: 0.62, b: 0.81
x: 199.22, y: 211.23, r: 0.45, g: 0.62, b: 0.81
x: 202.22, y: 213.24, r: 0.45, g: 0.62, b: 0.81
x: 203.22, y: 214.23, r: 0.45, g: 0.62, b: 0.81
x: 204.22, y: 216.23, r: 0.45, g: 0.62, b: 0.81
x: 205.22, y: 216.23, r: 0.45, g: 0.62, b: 0.81
x: 205.22, y: 217.24, r: 0.45, g: 0.62, b: 0.81
x: 207.22, y: 218.23, r: 0.45, g: 0.62, b: 0.81
x: 208.22, y: 219.23, r: 0.45, g: 0.62, b: 0.81
x: 208.22, y: 220.23, r: 0.45, g: 0.62, b: 0.81
x: 209.22, y: 222.24, r: 0.45, g: 0.62, b: 0.81
x: 210.22, y: 223.23, r: 0.45, g: 0.62, b: 0.81
x: 210.22, y: 224.24, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 224.24, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 225.23, r: 0.45, g: 0.62, b: 0.81
x: 213.22, y: 226.24, r: 0.45, g: 0.62, b: 0.81
x: 213.22, y: 227.23, r: 0.45, g: 0.62, b: 0.81
x: 214.22, y: 228.24, r: 0.45, g: 0.62, b: 0.81
x: 216.22, y: 230.23, r: 0.45, g: 0.62, b: 0.81
x: 217.22, y: 231.23, r: 0.45, g: 0.62, b: 0.81
x: 217.22, y: 232.23, r: 0.45, g: 0.62, b: 0.81
x: 218.22, y: 233.24, r: 0.45, g: 0.62, b: 0.81
x: 219.23, y: 233.24, r: 0.45, g: 0.62, b: 0.81
x: 219.23, y: 234.23, r: 0.45, g: 0.62, b: 0.81
x: 212.22, y: 188.24, r: 0.45, g: 0.62, b: 0.81
x: 213.22, y: 188.24, r: 0.45, g: 0.62, b: 0.81
x: 214.22, y: 187.23, r: 0.45, g: 0.62, b: 0.81
x: 214.22, y: 184.24, r: 0.45, g: 0.62, b: 0.81
x: 216.22, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 217.22, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 218.22, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 218.22, y: 178.23, r: 0.45, g: 0.62, b: 0.81
x: 219.23, y: 177.24, r: 0.45, g: 0.62, b: 0.81
x: 219.23, y: 176.23, r: 0.45, g: 0.62, b: 0.81
x: 220.23, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 221.23, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 222.23, y: 173.24, r: 0.45, g: 0.62, b: 0.81
x: 224.23, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 225.23, y: 171.24, r: 0.45, g: 0.62, b: 0.81
x: 227.23, y: 170.24, r: 0.45, g: 0.62, b: 0.81
x: 228.23, y: 170.24, r: 0.45, g: 0.62, b: 0.81
x: 229.23, y: 170.24, r: 0.45, g: 0.62, b: 0.81
x: 230.21, y: 170.24, r: 0.45, g: 0.62, b: 0.81
x: 231.21, y: 171.24, r: 0.45, g: 0.62, b: 0.81
x: 232.21, y: 171.24, r: 0.45, g: 0.62, b: 0.81
x: 233.21, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 234.21, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 235.21, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 236.21, y: 172.23, r: 0.45, g: 0.62, b: 0.81
x: 236.21, y: 173.24, r: 0.45, g: 0.62, b: 0.81
x: 238.21, y: 175.24, r: 0.45, g: 0.62, b: 0.81
x: 239.21, y: 176.23, r: 0.45, g: 0.62, b: 0.81
x: 239.21, y: 177.24, r: 0.45, g: 0.62, b: 0.81
x: 240.21, y: 178.23, r: 0.45, g: 0.62, b: 0.81
x: 242.22, y: 179.24, r: 0.45, g: 0.62, b: 0.81
x: 242.22, y: 180.23, r: 0.45, g: 0.62, b: 0.81
x: 242.22, y: 181.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 182.24, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 183.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 185.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 187.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 188.24, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 190.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 191.23, r: 0.45, g: 0.62, b: 0.81
x: 243.22, y: 192.23, r: 0.45, g: 0.62, b: 0.81
x: 242.22, y: 194.23, r: 0.45, g: 0.62, b: 0.81
x: 241.21, y: 195.24, r: 0.45, g: 0.62, b: 0.81
x: 241.21, y: 196.23, r: 0.45, g: 0.62, b: 0.81
x: 241.21, y: 198.23, r: 0.45, g: 0.62, b: 0.81
x: 240.21, y: 200.23, r: 0.45, g: 0.62, b: 0.81
x: 239.21, y: 201.23, r: 0.45, g: 0.62, b: 0.81
x: 238.21, y: 203.23, r: 0.45, g: 0.62, b: 0.81
x: 238.21, y: 204.24, r: 0.45, g: 0.62, b: 0.81
x: 237.21, y: 206.24, r: 0.45, g: 0.62, b: 0.81
x: 236.21, y: 208.24, r: 0.45, g: 0.62, b: 0.81
x: 235.21, y: 210.23, r: 0.45, g: 0.62, b: 0.81
x: 234.21, y: 213.24, r: 0.45, g: 0.62, b: 0.81
x: 233.21, y: 215.24, r: 0.45, g: 0.62, b: 0.81
x: 232.21, y: 217.24, r: 0.45, g: 0.62, b: 0.81
x: 231.21, y: 219.23, r: 0.45, g: 0.62, b: 0.81
x: 231.21, y: 220.23, r: 0.45, g: 0.62, b: 0.81
x: 230.21, y: 222.24, r: 0.45, g: 0.62, b: 0.81
x: 229.23, y: 222.24, r: 0.45, g: 0.62, b: 0.81
x: 229.23, y: 223.23, r: 0.45, g: 0.62, b: 0.81
x: 228.23, y: 225.23, r: 0.45, g: 0.62, b: 0.81
x: 227.23, y: 226.24, r: 0.45, g: 0.62, b: 0.81
x: 226.23, y: 227.23, r: 0.45, g: 0.62, b: 0.81
x: 226.23, y: 228.24, r: 0.45, g: 0.62, b: 0.81
x: 225.23, y: 230.23, r: 0.45, g: 0.62, b: 0.81
x: 224.23, y: 233.24, r: 0.45, g: 0.62, b: 0.81
x: 223.23, y: 235.24, r: 0.45, g: 0.62, b: 0.81
x: 223.23, y: 236.23, r: 0.45, g: 0.62, b: 0.81
x: 223.23, y: 237.24, r: 0.45, g: 0.62, b: 0.81
x: 97.23, y: 236.23, r: 0.46, g: 0.31, b: 0.48
x: 96.23, y: 236.23, r: 0.46, g: 0.31, b: 0.48
x: 95.23, y: 235.24, r: 0.46, g: 0.31, b: 0.48
x: 94.23, y: 233.24, r: 0.46, g: 0.31, b: 0.48
x: 92.23, y: 229.23, r: 0.46, g: 0.31, b: 0.48
